ROI_Name,Hemisphere,Network,Subregion,Parcel_Index,RGB1,RGB2,RGB3,Label
17Networks_RH_LimbicB_OFC_1,RH,LimbicB,LimbicB_OFC,1,126,135,52,0
17Networks_RH_ContA_IPS_1,RH,ContA,ContA_IPS,1,234,147,35,0
17Networks_RH_ContA_PFCl_1,RH,ContA,ContA_PFCl,1,233,148,35,0
17Networks_RH_ContA_PFCl_2,RH,ContA,ContA_PFCl,2,233,148,36,0
17Networks_RH_ContB_Temp_1,RH,ContB,ContB_Temp,1,140,51,76,0
17Networks_RH_ContB_IPL_1,RH,ContB,ContB_IPL,1,139,50,74,0
17Networks_RH_ContB_PFCld_1,RH,ContB,ContB_PFCld,1,139,49,75,0
17Networks_RH_ContB_PFClv_1,RH,ContB,ContB_PFClv,1,139,49,74,0
17Networks_RH_ContC_Cingp_1,RH,ContC,ContC_Cingp,1,123,141,177,0
17Networks_RH_ContC_pCun_1,RH,ContC,ContC_pCun,1,123,141,178,0
17Networks_RH_DefaultA_IPL_1,RH,DefaultA,DefaultA_IPL,1,251,254,2,0
17Networks_RH_DefaultA_pCunPCC_1,RH,DefaultA,DefaultA_pCunPCC,1,251,253,1,0
17Networks_RH_DefaultA_PFCm_1,RH,DefaultA,DefaultA_PFCm,1,249,255,1,0
17Networks_RH_DefaultB_PFCd_1,RH,DefaultB,DefaultB_PFCd,1,210,63,80,0
17Networks_RH_DefaultB_PFCv_2,RH,DefaultB,DefaultB_PFCv,2,209,62,79,0
17Networks_RH_DefaultC_Rsp_1,RH,DefaultC,DefaultC_Rsp,1,5,0,131,0
17Networks_RH_DefaultC_PHC_1,RH,DefaultC,DefaultC_PHC,1,5,0,132,0
17Networks_RH_TempPar_1,RH,TempPar,TempPar,1,16,48,255,0
17Networks_RH_TempPar_2,RH,TempPar,TempPar,2,13,41,250,0
17Networks_RH_TempPar_3,RH,TempPar,TempPar,3,13,41,251,0
